Mission,Orb. phase,Exposure time [s]
CHEOPS,0.0018237252275403724,10
CHEOPS,0.0018290396983910507,10
CHEOPS,0.001830725664823202,10
TESS,0.001833985490856722,120
CHEOPS,0.0018371303175058697,10
CHEOPS,0.0018403964260671538,10
CHEOPS,0.0018457121682157367,10
CHEOPS,0.0018473985361103843,10
CHEOPS,0.0018538030549722197,10
CHEOPS,0.0018570675576835194,10
CHEOPS,0.00186238316601127,10
CHEOPS,0.0018640714073975663,10
CHEOPS,0.00187047579243857,10
CHEOPS,0.0018737388231207168,10
CHEOPS,0.0018790556358359563,10
TESS,0.001880637130352668,120
CHEOPS,0.001880742672834764,10
CHEOPS,0.0018871485299049202,10
TESS,0.0018901628492823043,120
CHEOPS,0.0018904097540058341,10
CHEOPS,0.0018957281725710583,10
CHEOPS,0.0018974155441219462,10
CHEOPS,0.0019038212004608543,10
TESS,0.00190704524176152,120
CHEOPS,0.001907079413593047,10
CHEOPS,0.0019123991703665917,10
CHEOPS,0.0019140884154091285,10
CHEOPS,0.0019204922651668037,10
CHEOPS,0.0019237504782989964,10
CHEOPS,0.001929071640191278,10
CHEOPS,0.00193075961393591,10
TESS,0.001934082481921052,120
CHEOPS,0.001937165002633154,10
TESS,0.0019403272732801023,120
CHEOPS,0.0019404216768257778,10
CHEOPS,0.00194574417692638,10
CHEOPS,0.0019474325521335082,10
CHEOPS,0.0019538360673391035,10
CHEOPS,0.0019570911356817425,10
CHEOPS,0.001962415040901081,10
TESS,0.001962763862374801,120
CHEOPS,0.0019641054234206903,10
CHEOPS,0.0019705087378950373,10
CHEOPS,0.001973762334208524,10
TESS,0.0019755246031178206,120
TESS,0.0019768976418739212,120
CHEOPS,0.0019790876445465993,10
CHEOPS,0.0019807782947078726,10
CHEOPS,0.0019871814753613876,10
CHEOPS,0.0019904333989144737,10
CHEOPS,0.0019957601812817015,10
CHEOPS,0.001997451099084639,10
CHEOPS,0.002003852540067337,10
CHEOPS,0.0020071029915912702,10
CHEOPS,0.0020124310452564026,10
CHEOPS,0.0020141224314322525,10
TESS,0.0020167960254196837,120
CHEOPS,0.0020205252775336874,10
CHEOPS,0.00202377405629722,10
CHEOPS,0.0020307952358090187,10
TESS,0.0020335545050202183,120
CHEOPS,0.0020371979480896213,10
CHEOPS,0.0020404436489740167,10
CHEOPS,0.002047468174006617,10
CHEOPS,0.002053869012795571,10
CHEOPS,0.002057114713679966,10
CHEOPS,0.0020641393725333982,10
CHEOPS,0.002070541750261921,10
CHEOPS,0.0020737859122067475,10
TESS,0.00208021009223071,120
CHEOPS,0.0020808122438205805,10
CHEOPS,0.0020872128149678703,10
TESS,0.0020897278488208387,120
CHEOPS,0.002090455437973128,10
CHEOPS,0.002097485115107763,10
CHEOPS,0.0021038854855238045,10
