obsname,num,source_J,bkg_rms_J,tstart,date,time,datetime,jd,source_J_val,phase,rot_phase
20240611,8,0.0010300874710083,5.079412924255357e-05,06:09:39,2024-06-11,08:09:39,2024-06-11 08:09:39,2460472.8400347224,True,0.5283155060454251,0.7416859119524055
20240611,9,0.0014507881132885,4.827965945878038e-05,06:09:39,2024-06-11,09:09:39,2024-06-11 09:09:39,2460472.881701389,True,0.5343025487025074,0.7711427281499639
20240611,10,0.0010448236716911,5.452135012175885e-05,06:09:39,2024-06-11,10:09:39,2024-06-11 10:09:39,2460472.9233680554,True,0.5402895913595896,0.8005995443475221
20240611,11,0.0008215746493078,6.0665909360034034e-05,06:09:39,2024-06-11,11:09:39,2024-06-11 11:09:39,2460472.9650347224,True,0.5462766340835823,0.830056360874286
20240426,8,0.0002085132873617,5.4142840206023216e-05,08:45:59,2024-04-26,08:45:59,2024-04-26 08:45:59,2460426.865266204,False,0.9222458749663872,0.239198447498376
20240426,9,0.0002410162123851,5.500282495306116e-05,08:45:59,2024-04-26,09:45:59,2024-04-26 09:45:59,2460426.9069328704,True,0.9282329176234694,0.2686552636959343
20240426,10,0.000384216371458,5.9029129477355866e-05,08:45:59,2024-04-26,10:45:59,2024-04-26 10:45:59,2460426.948599537,True,0.9342199602805517,0.29811207989349264
20240426,11,0.0004507491830736,6.356234456537425e-05,08:45:59,2024-04-26,11:45:59,2024-04-26 11:45:59,2460426.990266204,True,0.9402070030045443,0.3275688964202565
20240426,12,0.0001831503177527,8.647946389161854e-05,08:45:59,2024-04-26,12:45:59,2024-04-26 12:45:59,2460427.0319328704,False,0.9461940456616266,0.35702571261781485
20240426,13,0.0001662874128669,0.00011646203996,08:45:59,2024-04-26,13:45:59,2024-04-26 13:45:59,2460427.073599537,False,0.9521810883187088,0.38648252881537315
20240426,14,0.0004995605559088,9.071557214387424e-05,08:45:59,2024-04-26,14:45:59,2024-04-26 14:45:59,2460427.115266204,True,0.9581681310427015,0.41593934534213706
20240426,15,0.0003374223306309,8.301795917917845e-05,08:45:59,2024-04-26,15:45:59,2024-04-26 15:45:59,2460427.1569328704,True,0.9641551736997837,0.44539616153969536
20240426,16,0.0001865065423771,6.466883412132724e-05,08:45:59,2024-04-26,16:45:59,2024-04-26 16:45:59,2460427.198599537,False,0.9701422163568659,0.47485297773725366
20240426,17,0.0002788840502034,7.045942003193218e-05,08:45:59,2024-04-26,17:45:59,2024-04-26 17:45:59,2460427.240266204,False,0.9761292590808586,0.5043097942640176
20240426,18,0.000389253400499,8.030959369942131e-05,08:45:59,2024-04-26,18:45:59,2024-04-26 18:45:59,2460427.2819328704,True,0.9821163017379408,0.5337666104615759
20240619,4,0.0003632596344687,6.182901847616231e-05,04:59:39,2024-06-19,04:59:39,2024-06-19 04:59:39,2460480.708090278,True,0.6588687319953261,0.3041147246097508
20240619,5,0.0003507509245537,5.292354460248621e-05,04:59:39,2024-06-19,05:59:39,2024-06-19 05:59:39,2460480.7497569444,True,0.6648557746524083,0.3335715408073091
20240619,6,0.0003650459693744,5.239808109389469e-05,04:59:39,2024-06-19,06:59:39,2024-06-19 06:59:39,2460480.7914236113,True,0.670842817376401,0.363028357334073
20240619,7,0.0003061596362385,4.853481206117786e-05,04:59:39,2024-06-19,07:59:39,2024-06-19 07:59:39,2460480.833090278,True,0.6768298600334832,0.3924851735316313
20240619,8,0.0003714441845659,4.308199607836736e-05,04:59:39,2024-06-19,08:59:39,2024-06-19 08:59:39,2460480.8747569444,True,0.6828169026905655,0.42194198972918967
20240619,9,0.0002773705637082,6.984989718943488e-05,04:59:39,2024-06-19,09:59:39,2024-06-19 09:59:39,2460480.9164236113,False,0.6888039454145581,0.4513988062559535
20240619,10,0.0002809748402796,5.283035721633411e-05,04:59:39,2024-06-19,10:59:39,2024-06-19 10:59:39,2460480.958090278,True,0.6947909880716404,0.4808556224535119
20240619,11,0.0002158564457204,5.5775155962937545e-05,04:59:39,2024-06-19,11:59:39,2024-06-19 11:59:39,2460480.9997569444,False,0.7007780307287226,0.5103124386510701
20240619,12,0.0002430332824587,4.395268690774744e-05,04:59:39,2024-06-19,12:59:39,2024-06-19 12:59:39,2460481.0414236113,True,0.7067650734527153,0.539769255177834
20240619,13,0.0002693952119443,5.750923094959478e-05,04:59:39,2024-06-19,13:59:39,2024-06-19 13:59:39,2460481.083090278,True,0.7127521161097975,0.5692260713753924
20240619,14,0.0002912901400122,8.153166813631907e-05,04:59:39,2024-06-19,14:59:39,2024-06-19 14:59:39,2460481.1247569444,False,0.7187391587668798,0.5986828875729507
20240421,8,0.0004695933312177,5.594851687921656e-05,08:39:19,2024-04-21,08:39:19,2024-04-21 08:39:19,2460421.860636574,True,0.20313552647076913,0.7011075110090704
20240421,9,0.0004478592600207,6.316854879686444e-05,08:39:19,2024-04-21,09:39:19,2024-04-21 09:39:19,2460421.9023032407,True,0.20912256912785135,0.7305643272066288
20240421,10,0.0004228253965266,7.033062053996364e-05,08:39:19,2024-04-21,10:39:19,2024-04-21 10:39:19,2460421.9439699072,True,0.2151096117849336,0.760021143404187
20240421,11,0.000281447864836,6.489480993322423e-05,08:39:19,2024-04-21,11:39:19,2024-04-21 11:39:19,2460421.985636574,True,0.22109665450892627,0.7894779599309509
20240421,12,0.0001711176300887,6.384717515166459e-05,08:39:19,2024-04-21,12:39:19,2024-04-21 12:39:19,2460422.0273032407,False,0.22708369716600849,0.8189347761285093
20240421,13,0.0002408914151601,9.480686481297736e-05,08:39:19,2024-04-21,13:39:19,2024-04-21 13:39:19,2460422.0689699072,False,0.23307073982309073,0.8483915923260675
20240421,14,0.0001478809717809,9.603049300188674e-05,08:39:19,2024-04-21,14:39:19,2024-04-21 14:39:19,2460422.110636574,False,0.2390577825470834,0.8778484088528314
20240421,15,0.0001578616938786,7.34427527621526e-05,08:39:19,2024-04-21,15:39:19,2024-04-21 15:39:19,2460422.1523032407,False,0.24504482520416562,0.9073052250503898
20240515,6,0.0003730031312443,5.557648580675864e-05,06:37:29,2024-05-15,06:37:29,2024-05-15 06:37:29,2460445.7760300925,True,0.6395150869892618,0.6084200018425534
20240515,7,0.0002781944931484,4.99547964510196e-05,06:37:29,2024-05-15,07:37:29,2024-05-15 07:37:29,2460445.8176967595,True,0.6455021297132545,0.6378768183693173
20240515,8,0.0001575450296513,6.158864929747182e-05,06:37:29,2024-05-15,08:37:29,2024-05-15 08:37:29,2460445.859363426,False,0.6514891723703368,0.6673336345668756
20240515,9,0.0001239746488863,6.52163674489327e-05,06:37:29,2024-05-15,09:37:29,2024-05-15 09:37:29,2460445.9010300925,False,0.657476215027419,0.6967904507644339
20240515,10,0.0002074764925055,5.517996297217062e-05,06:37:29,2024-05-15,10:37:29,2024-05-15 10:37:29,2460445.9426967595,False,0.6634632577514117,0.7262472672911978
20240515,11,0.0003055079723708,6.862283598363158e-05,06:37:29,2024-05-15,11:37:29,2024-05-15 11:37:29,2460445.984363426,True,0.6694503004084938,0.7557040834887562
20240515,12,0.0002083146537188,0.0001023714626289,06:37:29,2024-05-15,12:37:29,2024-05-15 12:37:29,2460446.0260300925,False,0.6754373430655761,0.7851608996863144
20240515,13,0.0002631792449392,7.399560304358985e-05,06:37:29,2024-05-15,13:37:29,2024-05-15 13:37:29,2460446.0676967595,False,0.6814243857895688,0.8146177162130783
20240515,14,0.0001768832444213,6.166268005077614e-05,06:37:29,2024-05-15,14:37:29,2024-05-15 14:37:29,2460446.109363426,False,0.687411428446651,0.8440745324106367
20240515,15,0.0001716722326818,6.377586525616238e-05,06:37:29,2024-05-15,15:37:29,2024-05-15 15:37:29,2460446.1510300925,False,0.6933984711037333,0.8735313486081949
20240515,16,0.0003666804695967,6.321654282537537e-05,06:37:29,2024-05-15,16:37:29,2024-05-15 16:37:29,2460446.1926967595,True,0.699385513827726,0.9029881651349588
